objno_deep2,z_pred
12011416,0.6159967332420359
12023279,0.8507567215251367
13017399,0.9437776040131871
12008131,0.4938578017292714
12003729,0.6103301990605963
12003313,0.9308114371928735
11021040,0.690420089616595
13020559,0.8723636233930716
14029818,1.0470053854456218
13049159,0.6721668125531488
13026194,1.0931895093606363
13028427,0.752740982826175
13035570,0.6715470564735405
13018058,0.37471590751389905
12005533,0.6755433964040374
12027865,1.2339348854008287
14028737,0.91580889028315
13034892,0.8253744328234198
13058802,0.5528090810943119
13034266,0.7160267339315872
12015933,1.3061137292446965
13019356,0.9649745798651624
13043664,0.6766166405549916
13026703,0.897684317481625
14034435,0.5856705423891472
11045189,0.5107446340442385
12029430,0.3746623524973734
12020460,0.5390545783892859
11051190,0.5158800168503292
12020226,1.1978454788242954
13064313,1.005876321454549
12029047,0.6560916561355731
13064464,0.6861168496182568
14024652,1.1018104787193994
14012814,1.0470053854456218
14021539,0.9649745798651624
13058710,0.5505681959791954
11027452,0.8967404367831688
13026761,0.748897544147427
13055360,0.8506077998818257
12024872,0.8952360384744702
12021021,1.0470053854456218
11051962,0.32855826567090923
12027965,0.5246958128245032
13051672,0.9139279433281752
11032750,0.4556408186352498
13055272,0.7516566120914773
11101473,0.9672181647993517
11006363,0.8373062693677944
11034334,0.9687962554218211
11033434,0.5190565080497768
14028987,0.641747882176444
12004729,1.0251011824193375
14018493,0.6638533924175994
13020183,0.9600213843822226
13010247,1.0888913941701939
13003917,1.0830987318287832
12012294,0.9527237229757444
11051724,0.32383683328581475
13032491,0.4912729300718334
12101115,1.3390400553244945
12028825,0.8109023331725586
11040256,0.5125459899449231
14034601,1.1569276776907036
14023103,0.5280509407579386
11015202,0.37773026217544786
14011252,0.6490484126777019
12028457,0.4475780554413338
12007663,0.6802139779665192
14028119,1.1039204599107482
14007176,0.42318278441611207
12025109,1.0790285806594102
14028452,0.707471937098711
11013937,0.6903655306650769
12017074,0.7106472348532968
14016678,1.1193051903262388
14033288,0.46749797459487147
12029045,0.7739822853575968
13026732,0.8032508336670889
13027026,1.0677948748756667
13025375,0.7871518861117172
13012069,0.5221343373405488
12007621,0.7498827088183133
12016619,0.7447132170491941
12007683,1.0032926929556125
11045638,1.121381538877133
13005509,0.37147182528238265
13032755,0.9796999929384113
12003637,1.0021955651850916
12028626,0.8156101788175234
12032544,0.2871152956084929
14017935,0.6248795401450674
13040732,0.5155577122508898
11044620,0.2731767775662196
13034445,1.1282255702106108
13035996,1.0580208630636732
11051648,0.7781807413503004
11046508,0.40445061171252283
12024336,1.016842316577986
13051230,0.4699776814719866
12009171,0.5756976573961053
12032532,0.8226269923609052
11007823,0.24078585871834424
14011560,1.0979114411002457
13019862,0.33044547358003923
13026080,0.8164252896361701
13035330,0.37133338890471285
12029226,0.9462199282730851
12012494,0.5341149929606642
14018277,0.38865808019730597
13040940,1.1460041071372953
13034137,0.9365571476252608
12023760,0.32658216496323494
12028365,0.4136991357440388
11033809,1.0464180171873356
11045168,0.9339117893990372
12016592,0.47128929883701903
11007873,0.3001690267942214
13063785,0.5795237651551702
13011113,0.6256551905191929
14016865,0.624721277614294
11045186,0.5192462719622525
14034659,0.4125765427826431
12024884,0.7927168188689462
12015938,1.0791670333036167
14011284,0.7532883177506351
11031171,0.2929979014837889
13010923,0.7261009178961666
12008251,1.1138922616205418
13035874,0.9452456118527213
12012513,0.5246958128245032
13003434,1.3840495899388217
14018687,0.6944750338313526
12005419,0.9899665847073024
13049865,0.6247521131504926
12024755,0.78988087982093
14006846,0.5263939259016663
14023227,0.5236310108587855
11027394,0.9021241118637952
